Year,Country,CO2_Emissions_Mt,Temp_Anomaly_C,Sea_Level_Rise_mm
1975,USA,3946.16,-0.047,0.0
1975,China,2286.52,-0.011,0.0
1975,India,1073.53,-0.081,0.0
1975,Russia,2200.67,-0.015,0.0
1975,Brazil,383.96,0.035,0.0
1975,Germany,1138.69,-0.01,0.0
1975,UK,840.57,0.034,0.0
1975,France,774.37,0.056,0.0
1975,Japan,1035.92,-0.016,0.0
1975,Canada,675.5,-0.044,0.0
1975,Australia,465.97,-0.021,0.0
1975,South Africa,412.45,-0.03,0.0
1975,Mexico,286.09,-0.078,0.0
1975,Italy,612.22,0.022,0.0
1975,South Korea,744.04,0.077,0.0
1975,Indonesia,305.03,-0.082,0.0
1975,Saudi Arabia,738.61,0.095,0.0
1975,Argentina,263.44,-0.0,0.0
1975,Egypt,175.81,0.046,0.0
1975,Turkey,286.86,0.02,0.0
1980,USA,3976.59,0.114,3.0
1980,China,2060.68,0.055,3.0
1980,India,1049.23,0.081,3.0
1980,Russia,2204.5,0.179,3.0
1980,Brazil,336.2,0.136,3.0
1980,Germany,1048.57,0.03,3.0
1980,UK,899.5,0.001,3.0
1980,France,722.54,0.14,3.0
1980,Japan,1017.31,0.163,3.0
1980,Canada,644.68,0.059,3.0
1980,Australia,456.7,0.011,3.0
1980,South Africa,393.25,0.027,3.0
1980,Mexico,292.55,0.022,3.0
1980,Italy,573.15,0.189,3.0
1980,South Korea,868.08,0.126,3.0
1980,Indonesia,309.44,0.153,3.0
1980,Saudi Arabia,756.3,0.067,3.0
1980,Argentina,261.79,0.169,3.0
1980,Egypt,177.7,0.061,3.0
1980,Turkey,283.18,0.093,3.0
1985,USA,4569.42,0.265,6.0
1985,China,2619.43,0.174,6.0
1985,India,1029.03,0.153,6.0
1985,Russia,2380.42,0.233,6.0
1985,Brazil,349.04,0.161,6.0
1985,Germany,1188.58,0.218,6.0
1985,UK,804.83,0.213,6.0
1985,France,770.59,0.131,6.0
1985,Japan,1017.87,0.205,6.0
1985,Canada,691.35,0.218,6.0
1985,Australia,488.56,0.152,6.0
1985,South Africa,412.0,0.241,6.0
1985,Mexico,311.19,0.146,6.0
1985,Italy,647.02,0.118,6.0
1985,South Korea,905.83,0.278,6.0
1985,Indonesia,281.67,0.269,6.0
1985,Saudi Arabia,732.92,0.112,6.0
1985,Argentina,255.79,0.239,6.0
1985,Egypt,180.59,0.279,6.0
1985,Turkey,285.06,0.112,6.0
1990,USA,4016.07,0.243,9.0
1990,China,2346.04,0.31,9.0
1990,India,1079.37,0.201,9.0
1990,Russia,2262.25,0.337,9.0
1990,Brazil,363.91,0.338,9.0
1990,Germany,1218.75,0.32,9.0
1990,UK,914.08,0.349,9.0
1990,France,875.2,0.346,9.0
1990,Japan,1113.32,0.357,9.0
1990,Canada,757.19,0.324,9.0
1990,Australia,502.17,0.357,9.0
1990,South Africa,428.86,0.347,9.0
1990,Mexico,309.04,0.291,9.0
1990,Italy,676.8,0.354,9.0
1990,South Korea,781.23,0.2,9.0
1990,Indonesia,330.23,0.385,9.0
1990,Saudi Arabia,780.08,0.249,9.0
1990,Argentina,259.36,0.238,9.0
1990,Egypt,199.55,0.247,9.0
1990,Turkey,276.21,0.354,9.0
1995,USA,4125.62,0.362,12.0
1995,China,2427.98,0.389,12.0
1995,India,1124.7,0.4,12.0
1995,Russia,2522.97,0.332,12.0
1995,Brazil,386.41,0.457,12.0
1995,Germany,1095.6,0.449,12.0
1995,UK,835.85,0.47,12.0
1995,France,768.0,0.461,12.0
1995,Japan,1079.22,0.389,12.0
1995,Canada,751.45,0.355,12.0
1995,Australia,453.24,0.476,12.0
1995,South Africa,439.37,0.407,12.0
1995,Mexico,333.65,0.377,12.0
1995,Italy,709.17,0.347,12.0
1995,South Korea,853.61,0.475,12.0
1995,Indonesia,317.71,0.412,12.0
1995,Saudi Arabia,819.9,0.381,12.0
1995,Argentina,294.45,0.461,12.0
1995,Egypt,206.49,0.316,12.0
1995,Turkey,279.39,0.479,12.0
2000,USA,3939.32,0.59,15.0
2000,China,2185.53,0.531,15.0
2000,India,1120.79,0.482,15.0
2000,Russia,2383.7,0.478,15.0
